rok,10.1_GS_dyn,10.1_NP_dyn,10.1_CF_dyn,10.1_DEBT_to_GS,10.1_CF_to_TC,10.1_STL_to_GS,10.1_NP_to_GS,10.1_NP_to_TC,22.2_GS_dyn,22.2_NP_dyn,22.2_CF_dyn,22.2_DEBT_to_GS,22.2_CF_to_TC,22.2_STL_to_GS,22.2_NP_to_GS,22.2_NP_to_TC,29.3_GS_dyn,29.3_NP_dyn,29.3_CF_dyn,29.3_DEBT_to_GS,29.3_CF_to_TC,29.3_STL_to_GS,29.3_NP_to_GS,29.3_NP_to_TC,35.1_GS_dyn,35.1_NP_dyn,35.1_CF_dyn,35.1_DEBT_to_GS,35.1_CF_to_TC,35.1_STL_to_GS,35.1_NP_to_GS,35.1_NP_to_TC,41.2_GS_dyn,41.2_NP_dyn,41.2_CF_dyn,41.2_DEBT_to_GS,41.2_CF_to_TC,41.2_STL_to_GS,41.2_NP_to_GS,41.2_NP_to_TC,45.1_GS_dyn,45.1_NP_dyn,45.1_CF_dyn,45.1_DEBT_to_GS,45.1_CF_to_TC,45.1_STL_to_GS,45.1_NP_to_GS,45.1_NP_to_TC,46.3_GS_dyn,46.3_NP_dyn,46.3_CF_dyn,46.3_DEBT_to_GS,46.3_CF_to_TC,46.3_STL_to_GS,46.3_NP_to_GS,46.3_NP_to_TC,46.4_GS_dyn,46.4_NP_dyn,46.4_CF_dyn,46.4_DEBT_to_GS,46.4_CF_to_TC,46.4_STL_to_GS,46.4_NP_to_GS,46.4_NP_to_TC,46.7_GS_dyn,46.7_NP_dyn,46.7_CF_dyn,46.7_DEBT_to_GS,46.7_CF_to_TC,46.7_STL_to_GS,46.7_NP_to_GS,46.7_NP_to_TC,46.9_GS_dyn,46.9_NP_dyn,46.9_CF_dyn,46.9_DEBT_to_GS,46.9_CF_to_TC,46.9_STL_to_GS,46.9_NP_to_GS,46.9_NP_to_TC,47.1_GS_dyn,47.1_NP_dyn,47.1_CF_dyn,47.1_DEBT_to_GS,47.1_CF_to_TC,47.1_STL_to_GS,47.1_NP_to_GS,47.1_NP_to_TC,47.4_GS_dyn,47.4_NP_dyn,47.4_CF_dyn,47.4_DEBT_to_GS,47.4_CF_to_TC,47.4_STL_to_GS,47.4_NP_to_GS,47.4_NP_to_TC,49.4_GS_dyn,49.4_NP_dyn,49.4_CF_dyn,49.4_DEBT_to_GS,49.4_CF_to_TC,49.4_STL_to_GS,49.4_NP_to_GS,49.4_NP_to_TC,52.2_GS_dyn,52.2_NP_dyn,52.2_CF_dyn,52.2_DEBT_to_GS,52.2_CF_to_TC,52.2_STL_to_GS,52.2_NP_to_GS,52.2_NP_to_TC,62.0_GS_dyn,62.0_NP_dyn,62.0_CF_dyn,62.0_DEBT_to_GS,62.0_CF_to_TC,62.0_STL_to_GS,62.0_NP_to_GS,62.0_NP_to_TC
2005,,,,0.2008055927980818,0.0483369470432886,0.1332168369563038,0.01985672950343141,0.020330383899149505,,,,0.3207375191728124,0.1096274759846323,0.2446352482050483,0.04465714776988006,0.04717938614289109,,,,0.3438101743441299,0.1223439178473616,0.2540812106390845,0.05700561863762141,0.06112822710032196,,,,0.3106084510454516,0.1161492506700265,0.1577108743870576,0.034852783939018125,0.03654255144125653,,,,0.3431273991551975,0.0467960202420928,0.3053240555388778,0.02089427745162644,0.021484676163172633,,,,0.2207964094398241,0.0274438355573971,0.1947731776760447,0.006152209375784272,0.006205592261845496,,,,0.1777963155210932,0.0285629077798133,0.1422177588087469,0.01462998575417142,0.01489945039646528,,,,0.2487530972308337,0.0417015749243597,0.2298666369812582,0.02454414014331578,0.025305081143819297,,,,0.1889853429555169,0.0354272240677573,0.1563796338573735,0.016244815484419865,0.016586437840100457,,,,0.2393052471573551,0.0585547457843976,0.2056006437864179,0.03520875867447556,0.03677456155670317,,,,0.2152055640104627,0.0285072266125874,0.1818172719870811,-0.000133979966927933,-0.0001342064405509126,,,,0.2038899282818833,0.042189302588747,0.1974976613657624,0.027284066105394453,0.028290310017708997,,,,0.2833144801417997,0.0873644979463193,0.1955536158046156,0.021268478354457814,0.021888102860486456,,,,0.4637485115006163,0.1314585645674927,0.1863332627011153,0.05081639901035309,0.0543455797337938,,,,0.3444503719187718,0.142563885228424,0.2908660039992306,0.07520997170538275,0.08234125538860894
2006,0.04227038539787897,-0.01987058877518244,0.0424566844025247,0.2083850372355523,0.0482882249246372,0.1417975996955177,0.018672855786475366,0.019095586712304068,0.14022265698181235,0.287272762101795,0.15696143049698885,0.3243528439529308,0.1118646337497369,0.2563074433402019,0.05041640736160049,0.05356453937341776,0.15674047873221508,-0.06753860699653336,-0.041864156433941035,0.329584251370727,0.0998476852989894,0.2494125233709307,0.045952864571765645,0.04855133655247604,0.10230220627490794,0.7243847576870253,0.18171706983691305,0.2751286147274386,0.1279333127039838,0.1526308967803114,0.054521898845236935,0.058733619685888916,0.23112386353572711,1.31352661584086,0.5859792224909386,0.3531001461212149,0.0615463007440322,0.299957115101138,0.03926450330048249,0.04121913305846995,0.10079330480385629,1.762890676513253,0.321312844164364,0.207369351260159,0.0332538335267044,0.1786530018310244,0.015441483746433704,0.01572310052247733,0.0435270945140982,0.05713699593623023,0.03406983143433684,0.1743440329862863,0.0283108193982336,0.1367310165124537,0.014820793127519192,0.015097383052375924,0.06422833408372686,0.16199320345883383,0.06711883508783378,0.2448629071344843,0.0419325920076942,0.2281604394147943,0.026798876817942605,0.027707528470424982,0.15027529974828502,0.7672275372121,0.2668486024863488,0.1866050366113473,0.0393518442042577,0.1541534482214278,0.02495775165065141,0.025700930369039077,0.08492903943688557,0.03269261157136727,-0.03303826966869583,0.2484844966241308,0.0520926635766078,0.2142655617762846,0.03351355123151848,0.03494006845228151,0.12164703026139323,-87.70481927710843,0.448012796152079,0.224325953284669,0.0372245693326905,0.1732266886031252,0.01035683107593321,0.010493464787072996,0.13709357371658593,0.5712987012987012,0.6751719933815206,0.2180326949324724,0.0627874412061351,0.2124173433965086,0.03770262943042511,0.03949185127641031,0.2501506770819415,0.9300970196133171,0.33065489201713727,0.2815484234100511,0.0941109466193227,0.1961558374320476,0.032836223213882826,0.0342000690123443,0.1083709623987894,0.24258530569096126,0.13412524506977275,0.4747957453368275,0.1358386041439476,0.1893864988963483,0.05696983486623903,0.061526717557251906,-0.009348473796329526,-0.08946005500780085,-0.030470528124854845,0.3233459229165827,0.1395679431698432,0.2779428303483443,0.06912792408640044,0.07570623131114831
2007,0.12249497143729737,0.22700315260480086,0.15137507097538694,0.2023692229485631,0.049629696039228,0.1464171785798941,0.020411363526023525,0.020915210382504212,0.18750203974147883,0.3261631410947998,0.24355137523158032,0.3240608942708817,0.1180358781184193,0.2443112213792062,0.05630338215160515,0.0602742514795911,0.1740061510705666,0.03608341501335044,0.13418947257702962,0.3108091624947644,0.0957983636550404,0.2470901197025705,0.040554302728094634,0.042553020186400066,0.028838501555340734,-0.05252891802985571,-0.02353185900473498,0.2892894198131552,0.11965006884849,0.1662207164118164,0.05020994297148661,0.05329960117367616,0.27624103059812244,0.9570844088570474,0.7547824382595061,0.3320104221796718,0.0868349626507529,0.2662022701681223,0.06021115556430333,0.06486012751584637,0.34603045057744963,1.2228374142841232,0.6245749706616917,0.2002450865423067,0.040663884163722,0.176280521515251,0.025500097556417085,0.02630711797794911,0.10133830459505266,0.486291432954157,0.2735623121273345,0.1663487175444122,0.0329139011194806,0.137673980304771,0.020001136583655856,0.020483886969167447,0.10976352991916327,0.22041024334310122,0.23446510364250694,0.2596271881307915,0.0467701861012792,0.2382035252864809,0.029470804272230363,0.030552180005862874,0.12174896244820466,0.13211934943863235,0.1602117177452902,0.1994965449622905,0.0407045966619365,0.1623377619488508,0.02518848201162573,0.025940728976844987,0.15353013685797423,0.2636524599839334,0.21780398136507095,0.2257145293117494,0.0551899536568343,0.2003630418736555,0.036712938919705125,0.03841116455258209,0.1477585120587679,0.5024247898283889,0.15253301160645383,0.2089591539437826,0.037623969758527,0.1716065252777902,0.013557172165629168,0.013825893634656881,0.3640100216262705,0.11810893462269623,0.059055936785194385,0.2660839488347547,0.0484025403493099,0.2608591356555233,0.030905672360578364,0.032141643719098,0.2288667836710072,0.3177470391465511,0.24786611208578924,0.3129299752964259,0.0958725273859844,0.2219997574575756,0.0352111689336975,0.036791295045710194,0.23253965101853025,0.5649296939619521,0.31365402524003727,0.4068082094369857,0.147024187461814,0.1693515881780437,0.07233340214946646,0.07933104117499072,0.14600619588219277,0.20909363904541522,0.068825755761031,0.3366776771443793,0.1308970746824911,0.2718806606286627,0.07293340436867342,0.08032096467769172
2008,0.04497463086039066,-0.6351390885154988,-0.04743909302886551,0.1997077235856184,0.0445242478695609,0.1469680297205659,0.007126784211607727,0.007187068738292984,0.004993337793757879,-0.44269644009313547,-0.034159408663763435,0.3640601302875284,0.1102048968912083,0.2648850750842783,0.03122217245416755,0.03247170155495158,-0.0034944228672365574,-0.8194789688986319,-0.17112725649816418,0.3544268507297986,0.0766022774721382,0.2790501624430068,0.0073465765893022325,0.007410609473013505,0.28550564406127776,-0.027734530809711888,0.030243339520390045,0.2647246101301498,0.0949101481803904,0.1823590132923958,0.03797524653953444,0.03989961490945823,0.24772539296115692,0.33491246014798315,0.417889175574395,0.3729356318504679,0.099193509946919,0.2961463107327877,0.06441851889536666,0.06975525554740288,-0.00039369352975537897,-0.5425661360513054,-0.15043202844997638,0.2041380942329757,0.0339835308486797,0.1743301287411963,0.011669202245722078,0.011837584539291079,0.23005236616447666,-0.013385807189664423,0.18633437030846145,0.1882751114526789,0.0316036555806503,0.1584324422578172,0.016042735877420555,0.016357260740955906,0.05232998328284433,-0.17692110582808995,0.043775030687778216,0.2799971986472709,0.0460655379771252,0.2554246308540033,0.023050561493147582,0.023729239275506735,0.06846082405580867,-0.40823768038151076,0.11512844127224264,0.2088820431194653,0.0419863120405942,0.1671465890630742,0.013950529778235155,0.014199363107650263,0.09560491657705472,0.004028378118317244,0.20570065539477933,0.2599647900667325,0.0605371856332897,0.2216199887850486,0.03364427446590044,0.035085378233679104,0.10934186237392574,0.03590388635060382,0.1711422055609746,0.2217077270649595,0.0395653034068272,0.1801721928020461,0.01265969293202937,0.012860354058163695,0.06970682104272385,-0.19278533412182142,-0.13228941684665219,0.2345701160324711,0.0389203494618921,0.2181636841644401,0.023321821921231185,0.024043119088299016,0.24793102132102507,-0.804385411235215,0.10049023479666563,0.2956168545824955,0.0817159996293332,0.1994890227783254,0.005519390265338028,0.005574078034746494,0.052626864726051714,-0.5660827544548476,-0.024184053028914132,0.4229911524995278,0.1289674526996393,0.1642686958705438,0.02981750862854403,0.030943788788772613,0.32890463505594036,0.5781323048153344,0.5433535339046867,0.282955827440692,0.1543177839507998,0.2370922491354475,0.08661160364567339,0.09682621209798792
2009,0.09146731257004714,0.7243855673697053,0.16431164007765675,0.176529651324381,0.0477463423639636,0.1302551336650194,0.01125945201905985,0.01141459362163659,0.04348460202582172,0.8998399291258521,0.25318212964638365,0.3462148559778876,0.1362209566089101,0.2433380886857153,0.056845237378033646,0.06084864305910554,0.01817540233718251,3.727023022154758,0.26276004335512737,0.3392661793096038,0.0980211858771675,0.2657826680960712,0.03410751879483568,0.035497607564601186,0.11428800213353774,1.101034229489105,0.46814184565513295,0.2251310274033768,0.1305953797755419,0.1588133912997984,0.07160383374861802,0.07856859300152598,-0.10948351197138317,-0.1752840858172171,-0.1147829484600078,0.4059791022173587,0.0981088118548402,0.3186137164550266,0.05965861206983734,0.06427710325839078,-0.04953472185196839,0.322599320909418,0.017517754849540212,0.2240730651572701,0.0365578140626318,0.188837207872693,0.016238025018461468,0.016552405343000356,0.004519674286635134,0.13979544895991514,0.018003855173335914,0.1723052400836565,0.032115076391389,0.1331957039753736,0.01820316496532076,0.01861057158005937,0.0551453195083651,-0.23118521337069198,-0.17225281089075406,0.263459834070979,0.0358654862829222,0.2446214379751082,0.01679542351976429,0.017159649179018733,-0.10352021298321845,-0.07387218454963695,-0.12303540221070242,0.2294813617452119,0.0410883710330919,0.196336002290974,0.014411896235704316,0.014674689682568583,-0.02868137952162053,-0.23551036758181643,-0.2066240623088733,0.2391567237066966,0.0489876602353643,0.2050329640015453,0.026480187321792643,0.027357928394344696,0.1096341117711499,0.09655905146244792,0.022714345413600068,0.2007831719185918,0.0365504618137382,0.1690997801116951,0.012510521014169232,0.012738226586291349,-0.01666271562540722,-0.1668498168498168,-0.17254058946653839,0.2446414105106324,0.0326855952769348,0.2282154251795608,0.019759832677785284,0.02033045366989493,0.011672565734405005,3.7968574635241303,0.12147775284339679,0.2914869751473665,0.0926466071556332,0.2038887228415299,0.02617025437392343,0.0270309691644409,-0.056702972619030456,0.3740690471218766,-0.1181804897396822,0.4675713777317208,0.1228217085097511,0.1945788841713516,0.04343416175340573,0.04591952148096199,0.057096947746791304,0.07115349009442684,0.008323749114185874,0.2590195443371331,0.1477656941091548,0.2159972754585717,0.08776330470491592,0.09849230318734188
2010,0.009725913925650476,1.3947315219149279,0.13079012488883746,0.180000117227057,0.0544180456765954,0.1325100837812759,0.026703647294444608,0.027551047227276543,0.1283538488231708,-0.0328435242935039,-0.03411847969910209,0.3433976538980365,0.1153523454359702,0.2529490455228994,0.04872428937126272,0.05159484218364219,0.23185065208541888,0.9345066976573488,0.28882883581329155,0.3135895155018001,0.1049638154949913,0.251295891801767,0.053562681025806906,0.05705500319868633,-0.014686479860221202,0.1520120852137743,0.1289593417475925,0.2561224509257553,0.1511141676268766,0.1849929184170363,0.08371800461475844,0.09276947098700566,0.04675535280404741,-0.02880684148902357,-0.05780474391170698,0.4247095590996042,0.0877763659971974,0.3305358728477723,0.05535203209926433,0.059277595395918786,0.10667271675225676,0.6257127984288859,0.2523127192864987,0.2107756087179471,0.0417463363834603,0.1800285520162952,0.023853813954311916,0.024537498991108183,0.12101748841551352,0.0973611318438905,0.09582501658010845,0.1731772150750963,0.0313118773018962,0.136833602048188,0.017819031296041114,0.01817055621586492,-0.006856760556586239,0.6745879388694753,0.2503480145233279,0.2677116195772497,0.0457134477172986,0.2410081645215579,0.028319594331794765,0.029292248394824454,0.07820344474009056,0.42875103001765735,-0.00825542892410358,0.2162164679705822,0.0379726874557359,0.1823852756927446,0.019097519760042845,0.019537908072137095,-0.0669990655245084,0.044735292709105146,-0.058010254409411766,0.2441174638707058,0.0496950765557951,0.2115127302737544,0.029651402512450197,0.030780095742259806,0.04721155817760492,0.46004282724985535,0.20110325727630518,0.2092123673916627,0.0420176600796493,0.1809857165020628,0.017442412976880567,0.017800541537657633,0.8826355420705474,1.3719498790943065,1.1574485540438912,0.2666343646893242,0.037437849752704,0.2600678341524192,0.024895595394660942,0.0256015716849939,0.09772093302712581,0.153559312119794,0.005290531229067197,0.2761195122563443,0.0849310249244574,0.2023544899023564,0.027501471207561592,0.028434578841299473,0.42340125816882934,-0.13205850693345145,0.3213641464142152,0.6916449075063402,0.1118163974465456,0.2408030917393507,0.026484669017956958,0.02745969110301521,0.16945479589832124,0.1420842480078821,0.12467812271373502,0.2674449375208361,0.1413086433692768,0.2269401748871768,0.0857092452039637,0.09564610665497021
2011,0.17545080566549354,-0.2921496289667631,-0.09527066014147423,0.1791252078256161,0.0413572727157274,0.1334834517204959,0.016080797728163232,0.01638211052507666,0.20403628206295288,0.10642412952360081,0.15630245922731012,0.3367655787468623,0.1105504855847518,0.2494102768256696,0.044774173550558106,0.047314113002424996,0.20982015651045116,0.18651637432909918,0.28180400278424655,0.3393886560382241,0.1110798133952817,0.2632339192327728,0.05253094664366954,0.05589093550713656,0.12667988765592142,0.31462012391433714,0.23976423345944742,0.2630388358757563,0.1694784507214269,0.1641205872678109,0.09768291313825724,0.11032541127135853,0.08727463589893647,-0.05210305927502701,0.07149509141843557,0.3947233401928145,0.0857332953859636,0.3015604216053293,0.04825645716127983,0.05121927589344972,-0.026758835797090486,-0.40588727577047634,-0.15055092648040103,0.2320649510109935,0.0360390851246925,0.1956294443441651,0.014561503266528305,0.014815529956442633,0.0007374209532589049,-0.11962737362897569,-0.12942139578399559,0.1533362010615378,0.0272333348515603,0.1386752620764176,0.015675827697679248,0.015981534700725438,0.046199339822830865,-0.3190409873137704,-0.0696782227935564,0.2811980515316684,0.0402347576661832,0.2491216110234453,0.018432895397467227,0.01887112998936981,0.1935326443277885,0.32350023563841535,0.2553931460159735,0.1935205661713294,0.0400362062460317,0.1700095979386026,0.02117710983662411,0.021717204191233137,-0.021706079993872307,-0.1593552231722739,-0.0635768159316984,0.2564820301166663,0.0473366311748942,0.218439572564003,0.02547935353370247,0.026320510654665705,0.2095580621832367,0.28691006630567517,0.2465495816028087,0.2175218039047031,0.0433607636540813,0.1620701562457027,0.018557866333503762,0.018964304260184632,-0.46743499227059826,-0.6768303985171455,-0.5990113128624394,0.2162863542429349,0.0280823073030865,0.2092895298913867,0.015107075240773071,0.01547700419880871,0.2591566982476594,0.7109716676174178,0.31871946897772263,0.2467180082812926,0.0899089359443899,0.1859146038421764,0.037369644397252856,0.03905473478979108,0.11610098002201874,-1.0959481739790187,-0.03642630892491161,0.7662701744484973,0.093197456909025,0.260273626371724,-0.0022768151593787925,-0.002279008755954413,0.13014579120167813,-0.08408881086071474,-0.0692604771709846,0.2791336576272976,0.1142666696012249,0.2319817131261004,0.06946188474632299,0.07611028489320827
2012,0.1360948288939985,0.19477142891218513,0.135126963505374,0.1692861917848919,0.0413529771362325,0.1299590460048753,0.01691133274361381,0.017241106316656155,0.036995082443732175,0.14809917846478382,0.03285470556444503,0.3409311183336572,0.1104530065278595,0.2504651999638231,0.04957129762727172,0.05254698032666948,0.06042974902347664,0.05448519369774507,0.023908529135220347,0.3820656116198161,0.1071870150354898,0.2665925005296795,0.05223646875022689,0.05554279618528945,0.075667005993449,-0.27041658752857634,-0.12608359576683004,0.2715657484104028,0.1324642057168668,0.1585404782076833,0.06625454969843465,0.07198875610860624,-0.1768104252721685,-1.0269774194690684,-0.7029108275875443,0.4492362947181376,0.0291642625162637,0.3322842793789886,-0.0015814518634561106,-0.0015821530642230923,-0.0012743990793647741,-0.3243508084272415,-0.1663519494841157,0.2483364791954307,0.0299210022645656,0.210091082664112,0.009851022043537017,0.009969149134205785,0.042977168368090624,0.07356113975700906,0.019360970432960256,0.1485818592868134,0.0266128615079765,0.1334628636955994,0.016135501293941746,0.01644780738863779,0.013169228397134525,0.09683889338252216,-0.009570691415370591,0.2830118904264629,0.0393238159173797,0.2558415152173172,0.019955123016891382,0.02042544509867937,0.09928347942228011,-0.4858699522648665,-0.28388057967725777,0.184160147334258,0.0257538157421822,0.1506050693929695,0.009904441115514364,0.010029519245169259,0.02228167460106656,-0.06842464852658625,-0.06820358523174175,0.2338766729480541,0.0430172299300943,0.2035911436354323,0.02321858868568383,0.023913126353067707,0.05579864767299303,0.26002079993066696,0.21661656956800246,0.2153474786356913,0.0500783036637533,0.1662295054247372,0.02214749719000416,0.02268368401282971,-0.152855700787197,0.17593920275308306,-0.004267425320056972,0.228649820750037,0.0330161857920347,0.2183550939208436,0.02097045571937792,0.021489344419085454,0.10221318998658524,-0.17043787508335184,-0.030365154255627247,0.2401776572474129,0.0782549994597425,0.1773136085994106,0.028125631134882256,0.029081957061996625,0.05552195191197429,-2.8053527980535278,0.009884053875159005,0.7827853123689975,0.0903320228045316,0.2668524564997904,0.0038942388750792985,0.003948882724303324,0.20061327370854398,0.12205661219161557,0.16465065598309425,0.2816366644343648,0.1100283765081193,0.2299462096518613,0.06491696267371443,0.07060697028525201
2013,0.019816770542834483,0.09201621114416336,0.01608969610201516,0.169304510148716,0.0412727779265426,0.1270748466879177,0.018108595623750542,0.018493498976227377,0.09086317978901537,0.3473641986491032,0.16453706572659166,0.3218203093302809,0.1194884534414183,0.2353042636304657,0.061227285823766804,0.06577000111798958,0.06324967806704263,0.1411486352020268,0.08019950434922096,0.3613700338538619,0.1092095727777793,0.25629751048253,0.05606357213337062,0.05978393712765364,-0.054276538698395105,0.22989769276666583,0.14254033018003298,0.3296259931552189,0.1634620889538934,0.1718850518204259,0.0861629441837565,0.0956270199979567,-0.14991634323767578,-16.970684751695472,0.6083540533002605,0.48022733613437,0.0571836973664083,0.3652054187381578,0.02971103956689817,0.03080431881596506,0.11306976670258106,0.43391950688905,0.10931110507082242,0.2389722399071711,0.0299090832399889,0.2032696439848639,0.012690644462357587,0.012881204336826843,0.0018172899379955698,0.06060460678170276,0.022567860072678414,0.1560893743757636,0.0271872477574915,0.135916425114261,0.017082343434246302,0.017427819499147932,0.050819145518792075,0.4752297758299209,0.22216270755739354,0.2854571218689558,0.0462878305380605,0.2547367852980677,0.02801470812594812,0.029021064798433704,-0.02100790148652487,0.5878868600765246,0.20330683888685597,0.1870072861152506,0.0318557366486178,0.1506794623297056,0.0160646157692257,0.016370779319122467,0.024831906730070408,0.11921412265388542,0.015779560836676643,0.2372645582842329,0.0427069827090042,0.2078634900253452,0.02535691189399477,0.026158119454526958,0.05234966836450816,-0.18171782305906625,-0.011614828846399528,0.2208067225990591,0.0467707096921242,0.1683243797933791,0.01722136924563793,0.01753940313721316,0.0,0.0,0.0,,,,,,0.029766456229759708,0.10345997892217262,0.015420717398592076,0.2445288628494456,0.0773181559131156,0.1766436829387167,0.03013839512009254,0.031225082169606153,0.08171406865957742,-0.020299865229110536,0.10421760391198043,0.8398908943148601,0.0916719985253194,0.2497577113884744,0.00352698227866526,0.0035555574576678958,0.1372985132487352,0.1929281995773413,0.17152024041846436,0.2390245460632193,0.1137335836790266,0.1962302263621045,0.06809230338582767,0.07431835770044667
